name,repo,total_sloc,rust_sloc,rust_share_pct,num_langs,top_langs,languages_json
select.rs,utkarshkukreti/select.rs,1456,1456,100.0,1,Rust (1456),"{""Rust"": 1456}"
ipc-channel,servo/ipc-channel,50206,50206,100.0,1,Rust (50206),"{""Rust"": 50206}"
portable-simd,rust-lang/portable-simd,7694,7694,100.0,1,Rust (7694),"{""Rust"": 7694}"
confy,rust-cli/confy,480,480,100.0,1,Rust (480),"{""Rust"": 480}"
onetun,aramperes/onetun,2226,2226,100.0,1,Rust (2226),"{""Rust"": 2226}"
pathfinding,evenfurther/pathfinding,8374,8374,100.0,1,Rust (8374),"{""Rust"": 8374}"
avml,microsoft/avml,1870,1870,100.0,1,Rust (1870),"{""Rust"": 1870}"
alloy,alloy-rs/alloy,64712,64712,100.0,1,Rust (64712),"{""Rust"": 64712}"
bdk,bitcoindevkit/bdk,17796,17796,100.0,1,Rust (17796),"{""Rust"": 17796}"
snow,mcginty/snow,5081,5081,100.0,1,Rust (5081),"{""Rust"": 5081}"
bstr,BurntSushi/bstr,6251,6251,100.0,1,Rust (6251),"{""Rust"": 6251}"
fundsp,SamiPerttu/fundsp,23292,23292,100.0,1,Rust (23292),"{""Rust"": 23292}"
rust-zmq,erickt/rust-zmq,4413,4413,100.0,1,Rust (4413),"{""Rust"": 4413}"
rustypaste,orhun/rustypaste,2808,2808,100.0,1,Rust (2808),"{""Rust"": 2808}"
cargo-mutants,sourcefrog/cargo-mutants,13035,13035,100.0,1,Rust (13035),"{""Rust"": 13035}"
serie,lusingander/serie,7474,7474,100.0,1,Rust (7474),"{""Rust"": 7474}"
kira,tesselode/kira,11948,11948,100.0,1,Rust (11948),"{""Rust"": 11948}"
telegram-bot,telegram-rs/telegram-bot,6670,6670,100.0,1,Rust (6670),"{""Rust"": 6670}"
chromiumoxide,mattsse/chromiumoxide,112194,112194,100.0,1,Rust (112194),"{""Rust"": 112194}"
kameo,tqwewe/kameo,12890,12890,100.0,1,Rust (12890),"{""Rust"": 12890}"
gxhash,ogxd/gxhash,1698,1698,100.0,1,Rust (1698),"{""Rust"": 1698}"
cv,rust-cv/cv,12076,12076,100.0,1,Rust (12076),"{""Rust"": 12076}"
duct.rs,oconnor663/duct.rs,1916,1916,100.0,1,Rust (1916),"{""Rust"": 1916}"
cargo-cache,matthiaskrgr/cargo-cache,9505,9505,100.0,1,Rust (9505),"{""Rust"": 9505}"
volt,suptejas/volt,14122,14122,100.0,1,Rust (14122),"{""Rust"": 14122}"
Glint,general-works/Glint,15466,15466,100.0,1,Rust (15466),"{""Rust"": 15466}"
ratzilla,orhun/ratzilla,5428,5428,100.0,1,Rust (5428),"{""Rust"": 5428}"
ntpd-rs,pendulum-project/ntpd-rs,26628,26628,100.0,1,Rust (26628),"{""Rust"": 26628}"
gimli,gimli-rs/gimli,41697,41697,100.0,1,Rust (41697),"{""Rust"": 41697}"
backon,Xuanwo/backon,1864,1864,100.0,1,Rust (1864),"{""Rust"": 1864}"
notan,Nazariglez/notan,25452,25452,100.0,1,Rust (25452),"{""Rust"": 25452}"
rustgym,warycat/rustgym,76894,76894,100.0,1,Rust (76894),"{""Rust"": 76894}"
rinha-de-compiler,aripiprazole/rinha-de-compiler,442,442,100.0,1,Rust (442),"{""Rust"": 442}"
heim,heim-rs/heim,12337,12337,100.0,1,Rust (12337),"{""Rust"": 12337}"
submillisecond,lunatic-solutions/submillisecond,6651,6651,100.0,1,Rust (6651),"{""Rust"": 6651}"
trybuild,dtolnay/trybuild,3466,3466,100.0,1,Rust (3466),"{""Rust"": 3466}"
magic-wormhole.rs,magic-wormhole/magic-wormhole.rs,9155,9155,100.0,1,Rust (9155),"{""Rust"": 9155}"
cargo-wizard,Kobzol/cargo-wizard,3247,3247,100.0,1,Rust (3247),"{""Rust"": 3247}"
doh-server,DNSCrypt/doh-server,2360,2360,100.0,1,Rust (2360),"{""Rust"": 2360}"
rust-ctor,mmastrac/rust-ctor,1905,1905,100.0,1,Rust (1905),"{""Rust"": 1905}"
