name,Runs Analyzed,Broken >2 Days,Broken >4 Days,Max Broken Days
select.rs,8,0,0,0
ipc-channel,243,1,0,3
portable-simd,153,2,1,19
confy,159,0,0,0
onetun,173,4,4,14
pathfinding,500,4,4,10
avml,500,1,0,3
bdk,500,0,0,0
alloy,500,0,0,1
snow,279,0,0,2
bstr,453,4,3,35
fundsp,54,2,1,243
rust-zmq,13,1,1,89
rustypaste,500,0,0,1
serie,238,1,0,4
cargo-mutants,500,3,1,6
kira,228,3,3,14
telegram-bot,0,,,
chromiumoxide,39,2,2,75
kameo,500,2,1,13
gxhash,283,1,0,3
cv,6,0,0,0
duct.rs,41,0,0,0
cargo-cache,411,1,1,410
volt,0,,,
Glint,4,2,2,18
ratzilla,393,1,1,5
ntpd-rs,500,0,0,2
gimli,113,0,0,2
rinha-de-compiler,0,,,
notan,461,0,0,0
backon,500,0,0,1
rustgym,15,0,0,0
heim,411,1,0,4
submillisecond,0,,,
trybuild,500,0,0,2
magic-wormhole.rs,500,1,1,61
cargo-wizard,6,0,0,0
doh-server,302,0,0,0
rust-ctor,109,2,2,71
fern,36,1,1,185
bytemuck,175,2,1,18
fastrace,500,1,1,7
rust-yew-realworld-example-app,0,,,
async-channel,96,4,4,56
jwt-hack,178,2,2,16
miniserde,449,1,1,5
bb8,241,3,0,3
cargo-mommy,127,2,2,230
dhat-rs,1,1,1,188
imageproc,500,0,0,2
awesome-rust,36,0,0,0
biodiff,8,0,0,0
flowgger,7,0,0,2
num-traits,79,1,1,191
proc-macro2,500,1,1,6
rustfix,0,,,
kurbo,500,5,3,21
cargo-show-asm,310,3,2,7
actix-extras,500,4,3,7
bevy_mod_picking,27,1,1,387
leafwing-input-manager,423,8,3,6
jieba-rs,115,0,0,0
bootimage,416,8,8,144
rust-av,69,0,0,1
datafrog,2,0,0,0
ch57x-keyboard-tool,5,0,0,0
AEADs,500,0,0,0
arrayvec,58,4,4,57
cargo-ndk,146,2,1,5
slab,86,2,2,63
roaring-rs,153,8,7,27
autometrics-rs,25,3,3,310
bus,410,0,0,0
rust-sciter,0,,,
tuc,127,1,0,4
halo2,144,1,1,34
directories-rs,1,0,0,0
arbitrary,68,4,3,17
fishnet,32,0,0,0
smartcore,478,6,5,105
arboard,99,3,3,60
jsonrpc,0,,,
renet,94,7,6,99
nanoserde,84,2,1,15
felix,64,0,0,0
rust-esp32-std-demo,21,1,1,18
minesweeper-rs,4,0,0,0
window-vibrancy,500,0,0,0
tower-http,136,4,3,26
bevy_ecs_ldtk,72,2,2,18
steamguard-cli,275,1,1,5
svd2rust,500,1,0,4
xcap,186,5,4,14
swash,75,0,0,1
Spartan,25,1,1,12
akula,0,,,
papaya,474,5,5,18
Figment,11,0,0,0
lowfi,37,1,1,15
heed,320,5,4,112
password-hashes,500,0,0,0
advent-of-code-rust,12,0,0,0
elliptic-curves,500,0,0,0
erased-serde,426,0,0,0
binance-rs,65,1,1,424
Nova,325,8,2,8
rustcat,0,,,
ultraviolet,11,0,0,0
jsonrpsee,500,0,0,2
serde_with,500,0,0,0
bevy_prototype_lyon,174,3,3,172
h3,201,10,5,42
twilight,500,12,8,14
runebender,0,,,
xshell,46,2,1,94
governor,500,0,0,0
rowan,48,5,4,40
object,223,3,3,11
Ares,500,0,0,1
cargo-auditable,500,0,0,0
tui-realm,428,1,1,16
voyager,2,1,1,257
binrw,50,3,3,42
reflect,426,1,1,5
kubectl-view-allocations,233,5,5,21
kiro-editor,0,,,
git-graph,35,0,0,0
minitrace-rust,33,1,0,3
mockito,44,0,0,0
garde,36,2,2,73
halp,500,8,8,31
serpl,28,2,2,47
font-kit,42,2,2,19
cargo-hack,500,0,0,1
cargo-instruments,47,1,1,6
lru-rs,41,2,2,53
wiremock-rs,475,8,3,5
owo-colors,402,1,1,6
dirs-rs,1,0,0,0
dyn-clone,448,0,0,0
avbroot,500,0,0,0
ruduino,294,0,0,0
iocraft,326,0,0,0
always-online-stun,500,0,0,0
indoc,433,0,0,2
progenitor,500,4,4,6
statrs,500,11,6,24
hck,42,1,1,51
block-ciphers,500,0,0,0
zip-old,0,,,
parry,489,7,6,19
thunder,0,,,
typify,500,0,0,2
gl-rs,9,1,1,19
ed25519-dalek,0,,,
sendme,149,2,2,28
statig,109,0,0,0
async-stream,72,3,3,186
prettyplease,500,0,0,2
topngx,7,0,0,0
std-training,500,9,8,6
cargo-pgo,66,3,3,36
generational-arena,0,,,
nomino,47,1,1,10
Peng,500,1,1,12
adsb_deku,500,4,3,68
tar-rs,292,1,1,6
agate,500,0,0,0
pcap2socks,0,,,
traits,500,0,0,0
pin-project,500,0,0,2
polling,198,6,4,19
glfw-rs,2,1,1,24
chili,86,1,1,82
reedline,466,5,3,11
pubgrub,500,2,1,6
ytui-music,17,1,1,291
Plonky3,500,0,0,2
libcosmic,500,0,0,1
fast_rsync,14,0,0,0
mimalloc_rust,446,3,3,109
ruma,500,0,0,0
cacache-rs,4,0,0,0
ryu,430,0,0,0
systemstat,8,0,0,0
Peroxide,87,1,1,7
httparse,167,2,2,13
docuum,62,0,0,1
relly,0,,,
probe-run,0,,,
gpt-macro,76,1,1,6
puppy-browser,0,,,
lazyjj,238,7,7,55
ouroboros,11,1,1,399
KiteSQL,338,1,1,8
mutagen,228,1,1,37
semver,440,1,1,5
rust-ctrlc,16,0,0,0
hackernews-TUI,9,0,0,0
cavif-rs,9,1,1,68
dbus-rs,31,2,1,54
magi,7,0,0,0
shiplift,0,,,
static-assertions,0,,,
wickdb,0,,,
keyring-rs,316,3,1,6
serialport-rs,209,5,5,79
native_db,500,0,0,1
test-case,225,1,1,409
iai,0,,,
salva,31,2,1,13
pico-args,1,0,0,0
narrowlink,45,2,2,139
distant,0,,,
pollster,12,1,1,94
shadow-rs,500,0,0,1
RSA,500,0,0,1
ggrs,41,1,1,15
pb-jelly,36,0,0,0
prsqlite,3,0,0,0
noodles,189,1,0,3
num_cpus,17,1,1,35
dotenv,1,0,0,0
esp-idf-hal,500,5,5,13
MozWire,4,0,0,0
com-rs,3,1,1,354
bevy_asset_loader,85,5,5,46
todo-or-die,0,,,
pb,0,,,
pdf-writer,143,1,1,12
windows-service-rs,25,0,0,0
nanoid,0,,,
chiselstore,0,,,
savage,0,,,
rdbc,0,,,
gltf,15,2,2,27
ReGreet,63,1,1,44
plotlars,149,0,0,0
termchat,0,,,
color-backtrace,19,0,0,0
ducker,500,4,4,7
vivid,32,0,0,0
Nping,118,0,0,0
rust-phf,93,4,3,70
cargo-udeps,319,0,0,0
dotenv-linter,500,0,0,0
derive_more,500,0,0,2
ureq,500,3,3,7
revm,500,0,0,0
wrkflw,233,1,1,6
case-studies,417,0,0,0
colored,57,8,5,28
git2-rs,191,2,1,12
rand,500,2,1,24
lopdf,210,5,2,19
jsonwebtoken,26,4,3,153
tao,500,0,0,0
sps,394,0,0,0
bumpalo,40,2,2,44
cosmic-text,263,11,9,37
gdrive,0,,,
argh,19,2,2,55
reshape,4,0,0,0
texlab,500,4,2,6
heapless,500,0,0,1
afl.rs,433,2,1,6
fltk-rs,500,0,0,1
glam-rs,500,0,0,0
kibi,500,0,0,2
bingrep,0,,,
rustyline,210,5,3,11
killport,8,1,1,71
macchina,56,2,2,45
windows-drivers-rs,500,0,0,0
mockall,500,1,1,349
docker-compose-wait,5,1,1,209
Av1an,500,1,0,3
legion,0,,,
cargo-fuzz,65,4,4,61
boxxy,184,4,3,206
rssbot,92,3,3,85
oryx,434,1,1,22
jql,55,0,0,0
spacer,38,0,0,0
rust-ffmpeg,434,2,2,303
kanal,500,0,0,0
puffin,218,6,2,84
nutype,102,1,0,4
barter-rs,108,1,1,5
rouille,13,0,0,0
fontdue,20,2,2,78
rust-peg,38,1,1,39
im-rs,28,1,1,409
gpg-tui,500,0,0,2
rpds,171,0,0,1
pdf,25,2,2,45
rust-smallvec,79,1,1,14
ropey,21,2,2,77
MessAuto,19,0,0,0
pprof-rs,195,4,3,27
cargo-geiger,500,2,2,25
click,11,0,0,0
ore-cli,48,1,1,386
surf,0,,,
polonius,3,0,0,0
RustQuant,500,6,2,6
ts-rs,375,5,5,32
